Cluster,Lead Investors Include,Continent
0,Kai-Fu Lee,Asia
3,Lightspeed Venture Partners,North America
3,Amber Group,North America
0,Haoteng Asia,Asia
1,2150,Europe
0,Tata Digital,Asia
3,ICONIQ Growth,North America
1,Marshall Wace,Europe
0,MercadoLibre,South America
0,Multiple Investors,Asia
0,Multiple Investors,Asia
1,SRAM & MRAM,Europe
4,Multiple Investors,North America
4,Multiple Investors,North America
1,Multiple Investors,Europe
3,T. Rowe Price,North America
3,CrowdStrike Falcon Fund,North America
1,Bestseller,Europe
1,Barings,Europe
0,General Atlantic,Asia
3,TPG,North America
1,BlackRock,Europe
3,Tiger Global Management,North America
3,Spark Capital,North America
3,D1 Capital Partners,North America
4,Multiple Investors,North America
0,Multiple Investors,Asia
4,Multiple Investors,North America
3,TPG,North America
4,Multiple Investors,North America
1,SoftBank Vision Fund,Europe
0,Multiple Investors,Asia
0,Xiaomi,Asia
0,Tiantu Capital,Asia
4,Multiple Investors,North America
1,HubSpot Ventures,Europe
3,G Squared,North America
3,XN,North America
1,Mastercard,Europe
0,Multiple Investors,Oceania
1,Eurazeo,Europe
0,Fujian Dongbai (Group),Asia
0,DST Global,Asia
0,Mitsubishi UFJ Financial Group,Asia
1,Teachers Venture Growth,Europe
3,NTT DOCOMO Ventures,North America
4,Multiple Investors,North America
3,Lightspeed Venture Partners,North America
3,SoftBank Vision Fund,North America
3,Snap,North America
3,Lone Pine Capital,North America
0,Multiple Investors,Asia
0,Multiple Investors,Asia
0,YF Capital,Asia
4,Multiple Investors,North America
3,Sailing Capital,North America
3,Bond,North America
3,General Atlantic,North America
1,Arjun Infrastructure Partners,Europe
0,Fenbushi Capital,Asia
3,WestCap,North America
3,HighSage Ventures,North America
3,Blackstone Group,North America
3,Kohlberg Kravis Roberts,North America
3,SoftBank Vision Fund,North America
3,Valor Equity Partners,North America
4,Multiple Investors,North America
0,Multiple Investors,Asia
0,NEOM,Asia
1,Multiple Investors,Europe
0,Multiple Investors,Asia
3,Google,North America
4,Multiple Investors,North America
3,Temasek Holdings,North America
0,Tiger Global Management,Asia
3,Insight Partners,North America
3,Bain Capital Ventures,North America
3,Caisse de Depot et Placement du Quebec,North America
4,Multiple Investors,North America
3,Ontario Teachers' Pension Plan,North America
3,Salesforce Ventures,North America
3,Charlesbank Capital Partners,North America
3,Binance Labs,North America
0,Multiple Investors,Asia
0,Shenzhen Capital Group,Asia
3,Capital One Ventures,North America
3,Magnetar Capital,North America
3,Owl Rock Capital,North America
3,One Equity Partners,North America
1,Canada Pension Plan Investment Board,Europe
0,Temasek Holdings,Asia
3,General Atlantic,North America
4,Multiple Investors,North America
4,Multiple Investors,North America
0,Charoen Pokphand Group,Asia
3,Advent International,North America
3,Vista Equity Partners,North America
3,Fidelity Management and Research Company,North America
3,Andreessen Horowitz,North America
0,Yunhao Capital,Asia
3,ION Crossover Partners,North America
